"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node25-018.cm.cluster",,,,"User:","machajewskim"
"Cmdline:","dstat --all --full -D total --output 1680366979158248026myfile.csv",,,,"Date:","01 Apr 2023 18:36:19 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"net/ib0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"system"
0.325,0.350,99.324,0,0,0,0,20512,25049,0,0,0,0,2693439488,75688226816,56132837376,131086708736,2233,4040,0,0,0,8.990,12.840,9.230,Apr-01 18:41:20
0,0,100,0,0,0,0,17062,26128,0,0,0,0,2693611520,75688054784,56132837376,131086585856,318,349,0,0,3,8.990,12.840,9.230,Apr-01 18:41:21
0.025,0,99.975,0,0,0,0,18016,264,0,0,0,0,2693611520,75688054784,56132837376,131086585856,282,211,0,0,3,8.990,12.840,9.230,Apr-01 18:41:22
0,0,100,0,0,0,0,15656,264,0,0,0,0,2693648384,75688017920,56132837376,131086548992,256,224,0,0,3,8.990,12.840,9.230,Apr-01 18:41:23
0.025,0.025,99.950,0,0,0,0,13626,264,0,0,0,0,2693648384,75688017920,56132837376,131086548992,238,194,0,0,3,8.270,12.630,9.180,Apr-01 18:41:24
0.025,0,99.975,0,0,0,12288,20566,1578,0,0,0,0,2693472256,75688194048,56132837376,131086725120,348,324,0,0,0,8.270,12.630,9.180,Apr-01 18:41:25
0,0,100,0,0,0,0,12668,10036,0,0,0,0,2693521408,75688144896,56132837376,131086675968,313,206,0,0,3,8.270,12.630,9.180,Apr-01 18:41:26
0.025,0,99.975,0,0,0,0,11266,264,0,0,0,0,2693365760,75688300544,56132837376,131086831616,202,181,0,0,3,8.270,12.630,9.180,Apr-01 18:41:27
0,0,100,0,0,0,0,16246,264,0,0,0,0,2693365760,75688300544,56132837376,131086831616,242,193,0,0,3,8.270,12.630,9.180,Apr-01 18:41:28
0.025,0,99.975,0,0,0,0,12176,264,0,0,0,0,2693365760,75688300544,56132837376,131086831616,287,270,0,0,3,7.600,12.420,9.130,Apr-01 18:41:29
0,0.025,99.975,0,0,0,0,12526,1578,0,0,0,0,2693316608,75688349696,56132837376,131086880768,241,205,0,0,0,7.600,12.420,9.130,Apr-01 18:41:30
0.025,0,99.975,0,0,0,0,15448,15546,0,0,0,0,2693365760,75688300544,56132837376,131086831616,270,230,0,0,3,7.600,12.420,9.130,Apr-01 18:41:31
0,0,100,0,0,0,0,10176,264,0,0,0,0,2693365760,75688300544,56132837376,131086831616,206,165,0,0,3,7.600,12.420,9.130,Apr-01 18:41:32
0.025,0,99.975,0,0,0,0,10936,264,0,0,0,0,2693238784,75688427520,56132837376,131086958592,266,281,0,0,3,7.600,12.420,9.130,Apr-01 18:41:33
0,0,100,0,0,0,0,14228,264,0,0,0,0,2693238784,75688427520,56132837376,131086958592,248,204,0,0,3,7,12.210,9.080,Apr-01 18:41:34
0.025,0,99.975,0,0,0,0,11600,1710,0,0,0,0,2693206016,75688460288,56132837376,131086991360,173,153,0,0,0,7,12.210,9.080,Apr-01 18:41:35
0.025,0,99.975,0,0,0,8192,17796,20710,0,0,0,0,2695831552,75685834752,56132837376,131084365824,322,280,0,0,3,7,12.210,9.080,Apr-01 18:41:36
0.050,0.150,99.800,0,0,0,0,18040,12432,0,0,0,0,2682912768,75698753536,56132837376,131097284608,540,484,0,0,5,7,12.210,9.080,Apr-01 18:41:37
0.050,0.025,99.875,0.050,0,151552,0,21702,80767,0,0,0,0,2677460992,75704205312,56132837376,131102736384,419,389,0,0,5,7,12.210,9.080,Apr-01 18:41:38
